"sample","field","score","comment"
"b12","medication_plan","A",""
"b12","recent_changes","TIE",""
"b13","current_meds","A",""
"b13","stage","TIE",""
"b13","distant_met","TIE",""
"b13","metastasis","A",""
"b13","response","TIE",""
"b13","type_receptor","TIE",""
"b13","genetic_results","TIE",""
"b13","genetic_plan","TIE",""
"b13","supportive_meds","TIE",""
"b13","procedure_plan","B",""
"b13","imaging_plan","A",""
"b13","lab_plan","TIE",""
"b13","medication_plan","TIE",""
"b13","recent_changes","TIE",""
"b14","current_meds","A","it is acutually started on the day of visit"
"b14","stage","TIE",""
"b14","distant_met","TIE",""
"b14","metastasis","TIE",""
"b14","response","TIE",""
"b14","type_receptor","TIE",""
"b14","genetic_results","A",""
"b14","genetic_plan","A",""
"b14","supportive_meds","A",""
"b14","procedure_plan","TIE",""
"b14","imaging_plan","TIE",""
"b14","lab_plan","TIE",""
"b14","medication_plan","TIE",""
"b14","recent_changes","A",""
"b15","current_meds","A",""
"b15","stage","A",""
"b15","metastasis","A",""
"b15","distant_met","B","the cervical nodees should count as distant spread/mets"
"b15","response","TIE",""
"b15","type_receptor","A",""
"b15","genetic_results","TIE",""
"b15","genetic_plan","TIE",""
"b15","supportive_meds","A",""
"b15","procedure_plan","TIE",""
"b15","imaging_plan","TIE",""
"b15","lab_plan","TIE",""
"b15","medication_plan","A",""
"b15","recent_changes","TIE",""
"b16","current_meds","A",""
"b16","stage","TIE",""
"b16","distant_met","TIE",""
"b16","metastasis","TIE",""
"b16","response","TIE",""
"b16","type_receptor","TIE",""
"b16","genetic_results","TIE",""
"b16","genetic_plan","TIE",""
"b16","supportive_meds","TIE",""
"b16","procedure_plan","TIE",""
"b16","imaging_plan","TIE",""
"b16","lab_plan","A",""
"b16","medication_plan","A",""
"b16","recent_changes","TIE",""
"b17","current_meds","TIE",""
"b17","stage","TIE",""
"b17","distant_met","TIE",""
"b17","metastasis","A",""
"b17","response","TIE",""
"b17","type_receptor","TIE",""
"b17","genetic_results","TIE",""
"b17","genetic_plan","TIE",""
"b17","supportive_meds","A",""
"b17","procedure_plan","TIE",""
"b17","imaging_plan","TIE",""
"b17","lab_plan","A",""
"b17","medication_plan","TIE",""
"b17","recent_changes","TIE",""
"b18","current_meds","A",""
"b18","stage","A",""
"b18","distant_met","TIE",""
"b18","metastasis","TIE",""
"b18","response","TIE",""
"b18","type_receptor","TIE",""
"b18","genetic_results","A",""
"b18","genetic_plan","TIE",""
"b18","supportive_meds","TIE",""
"b18","lab_plan","TIE",""
"b18","imaging_plan","TIE",""
"b18","recent_changes","TIE",""
"b18","medication_plan","A",""
"b18","procedure_plan","A",""
"b19","current_meds","A",""
"b19","stage","A",""
"b19","distant_met","TIE",""
"b19","metastasis","TIE",""
"b19","response","TIE",""
"b19","type_receptor","TIE",""
"b19","genetic_results","A",""
"b19","genetic_plan","TIE",""
"b19","supportive_meds","A",""
"b19","procedure_plan","TIE","Both are not accurate"
"b19","imaging_plan","A",""
"b19","lab_plan","TIE",""
"b19","medication_plan","TIE",""
"b19","recent_changes","TIE",""
"b20","current_meds","TIE",""
"b20","stage","TIE",""
"b20","distant_met","TIE",""
"b20","metastasis","A",""
"b20","response","TIE",""
"b20","type_receptor","TIE",""
"b20","genetic_results","B",""
"b20","genetic_plan","A",""
"b20","supportive_meds","TIE",""
"b20","procedure_plan","TIE",""
"b20","imaging_plan","TIE",""
"b20","lab_plan","TIE",""
"b20","medication_plan","A",""
"b20","recent_changes","TIE",""
"p1","current_meds","TIE",""
"p1","stage","B","did not say what stage"
"p1","distant_met","TIE",""
"p1","metastasis","TIE",""
"p1","response","TIE",""
"p1","genetic_results","TIE",""
"p1","genetic_plan","TIE",""
"p1","supportive_meds","TIE",""
"p1","procedure_plan","TIE",""
"p1","lab_plan","TIE",""
"p1","medication_plan","TIE",""
"p1","imaging_plan","A",""
"p1","recent_changes","TIE",""
"p2","current_meds","A",""
"p2","stage","A",""
"p2","distant_met","TIE",""
"p2","metastasis","A",""
"p2","genetic_results","TIE",""
"p2","response","TIE","I believe its not yet clear with 2nd line tx"
"p2","genetic_plan","TIE",""
"p2","supportive_meds","B",""
"p2","procedure_plan","TIE",""
"p2","imaging_plan","TIE",""
"p2","medication_plan","A",""
"p2","recent_changes","TIE",""
"p3","current_meds","A",""
"p3","stage","A",""
"p3","distant_met","TIE",""
"p3","metastasis","A",""
"p3","response","A",""
"p3","genetic_results","TIE",""
"p3","genetic_plan","TIE",""
"p3","supportive_meds","TIE",""
"p3","procedure_plan","B",""
"p3","imaging_plan","TIE",""
"p3","lab_plan","TIE",""
"p3","medication_plan","A",""
"p3","recent_changes","TIE",""
"p4","current_meds","A",""
"p4","stage","A",""
"p4","distant_met","TIE",""
"p4","metastasis","A",""
"p4","response","A",""
"p4","genetic_results","A",""
"p4","genetic_plan","TIE",""
"p4","supportive_meds","TIE",""
"p4","procedure_plan","TIE",""
"p4","imaging_plan","TIE",""
"p4","lab_plan","TIE",""
"p4","medication_plan","TIE",""
"p4","recent_changes","B",""
"p5","current_meds","A",""
"p5","stage","TIE",""
"p5","distant_met","TIE",""
"p5","metastasis","A",""
"p5","response","TIE",""
"p5","genetic_results","TIE",""
"p5","genetic_plan","TIE",""
"p5","supportive_meds","TIE",""
"p5","procedure_plan","TIE",""
"p5","imaging_plan","TIE",""
"p5","lab_plan","A",""
"p5","medication_plan","A",""
"p5","recent_changes","A",""
"p2","lab_plan","A",""
"p6","current_meds","TIE",""
"p6","stage","A",""
"p6","distant_met","TIE",""
"p6","metastasis","A",""
"p6","response","A",""
"p6","genetic_results","TIE",""
"p6","genetic_plan","TIE",""
"p6","supportive_meds","TIE",""
"p6","procedure_plan","A",""
"p6","imaging_plan","TIE",""
"p6","lab_plan","TIE",""
"p6","medication_plan","TIE",""
"p6","recent_changes","A",""
"p7","current_meds","A",""
"p7","stage","A",""
"p7","distant_met","TIE",""
"p7","metastasis","TIE",""
"p7","response","A",""
"p7","genetic_results","TIE",""
"p7","genetic_plan","TIE",""
"p7","supportive_meds","TIE",""
"p7","procedure_plan","TIE",""
"p7","imaging_plan","TIE",""
"p7","medication_plan","TIE",""
"p7","recent_changes","TIE",""
"p8","current_meds","TIE",""
"p8","stage","A",""
"p8","distant_met","A",""
"p8","metastasis","A",""
"p8","recent_changes","TIE",""
"p8","medication_plan","A",""
"p8","supportive_meds","A",""
"p8","procedure_plan","TIE",""
"p8","genetic_plan","TIE",""
"p8","genetic_results","A",""
"p8","response","A",""
"p8","imaging_plan","A",""
"p8","lab_plan","A",""
"p9","current_meds","A",""
"p9","stage","TIE",""
"p9","distant_met","TIE",""
"p9","metastasis","A",""
"p9","response","TIE",""
"p9","genetic_results","TIE",""
"p9","genetic_plan","TIE",""
"p9","supportive_meds","TIE",""
"p9","procedure_plan","TIE",""
"p9","imaging_plan","TIE",""
"p9","lab_plan","TIE",""
"p9","medication_plan","A",""
"p9","recent_changes","TIE",""
"p10","current_meds","A",""
"p10","stage","TIE",""
"p10","distant_met","TIE",""
"p10","metastasis","TIE",""
"p10","response","A",""
"p10","genetic_results","TIE",""
"p10","genetic_plan","TIE",""
"p10","supportive_meds","TIE",""
"p10","procedure_plan","TIE",""
"p10","imaging_plan","TIE",""
"p10","lab_plan","TIE",""
"p10","medication_plan","TIE",""
"p10","recent_changes","TIE",""
"p11","current_meds","A",""
"p11","stage","TIE",""
"p11","distant_met","TIE",""
"p11","metastasis","A",""
"p11","response","TIE",""
"p11","genetic_results","B",""
"p11","genetic_plan","TIE",""
"p11","supportive_meds","TIE",""
"p11","procedure_plan","A",""
"p11","imaging_plan","TIE",""
"p11","lab_plan","B",""
"p11","medication_plan","A",""
"p11","recent_changes","TIE",""
"p12","current_meds","A",""
"p12","stage","A",""
"p12","distant_met","A",""
"p12","metastasis","A",""
"p12","response","A",""
"p12","genetic_results","TIE",""
"p12","genetic_plan","TIE",""
"p12","supportive_meds","A",""
"p12","procedure_plan","TIE",""
"p12","imaging_plan","TIE",""
"p12","lab_plan","TIE",""
"p12","medication_plan","TIE",""
"p12","recent_changes","TIE",""
"p13","current_meds","A",""
"p13","stage","A",""
"p13","distant_met","A",""
"p13","metastasis","A",""
"p13","response","TIE",""
"p13","genetic_results","A",""
"p13","genetic_plan","A",""
"p13","supportive_meds","TIE",""
"p13","procedure_plan","TIE",""
"p13","imaging_plan","TIE",""
"p13","lab_plan","TIE",""
"p13","medication_plan","A",""
"p13","recent_changes","B",""
"p14","current_meds","A",""
"p14","stage","TIE",""
"p14","distant_met","TIE",""
"p14","metastasis","A",""
"p14","response","TIE",""
"p14","genetic_results","TIE",""
"p14","genetic_plan","TIE",""
"p14","supportive_meds","TIE",""
"p14","procedure_plan","A",""
"p14","imaging_plan","TIE",""
"p14","lab_plan","TIE",""
"p14","medication_plan","A",""
"p14","recent_changes","TIE",""
"p15","current_meds","A",""
"p15","stage","TIE",""
"p15","distant_met","TIE",""
"p15","metastasis","TIE",""
"p15","response","TIE",""
"p15","genetic_results","TIE",""
"p15","genetic_plan","TIE",""
"p15","supportive_meds","TIE",""
"p15","procedure_plan","TIE",""
"p15","imaging_plan","TIE",""
"p15","lab_plan","TIE",""
"p15","medication_plan","TIE",""
"p15","recent_changes","A",""
"p16","current_meds","A",""
"p16","stage","TIE",""
"p16","distant_met","TIE",""
"p16","metastasis","TIE",""
"p16","response","TIE",""
"p16","genetic_results","TIE",""
"p16","genetic_plan","TIE",""
"p16","supportive_meds","A",""
"p16","procedure_plan","TIE",""
"p16","imaging_plan","TIE",""
"p16","lab_plan","A",""
"p16","medication_plan","TIE",""
"p16","recent_changes","B",""
"p17","current_meds","TIE",""
"p17","stage","TIE",""
"p17","distant_met","TIE",""
"p17","metastasis","TIE",""
"p17","response","TIE",""
"p17","genetic_results","TIE",""
"p17","genetic_plan","TIE",""
"p17","supportive_meds","TIE",""
"p17","procedure_plan","TIE",""
"p17","imaging_plan","TIE",""
"p17","lab_plan","TIE",""
"p17","medication_plan","A",""
"p17","recent_changes","B",""
"p18","current_meds","A",""
"p18","stage","A",""
"p18","distant_met","TIE",""
"p18","metastasis","TIE",""
"p18","response","A",""
"p18","genetic_results","TIE",""
"p18","genetic_plan","TIE",""
"p18","supportive_meds","A",""
"p18","procedure_plan","TIE",""
"p18","imaging_plan","A",""
"p18","lab_plan","A",""
"p18","medication_plan","TIE",""
"p18","recent_changes","TIE",""
"p19","current_meds","A",""
"p19","stage","A",""
"p19","distant_met","TIE",""
"p19","metastasis","TIE",""
"p19","response","A",""
"p19","genetic_results","TIE",""
"p19","genetic_plan","TIE",""
"p19","supportive_meds","TIE",""
"p19","procedure_plan","TIE",""
"p19","imaging_plan","TIE",""
"p19","lab_plan","TIE",""
"p19","medication_plan","A",""
"p19","recent_changes","A",""
"p20","current_meds","A",""
"p20","stage","TIE",""
"p20","distant_met","TIE",""
"p20","metastasis","A",""
"p20","response","TIE",""
"p20","genetic_results","TIE",""
"p20","genetic_plan","TIE",""
"p20","supportive_meds","A",""
"p20","procedure_plan","A",""
"p20","imaging_plan","TIE",""
"p20","lab_plan","TIE",""
"p20","medication_plan","A",""
"p20","recent_changes","TIE",""
