"sample","field","score","comment"
"b10","response","TIE",""
"b10","type_receptor","TIE",""
"b10","genetic_results","B",""
"b10","genetic_plan","A",""
"b10","supportive_meds","TIE",""
"b10","procedure_plan","TIE",""
"b10","imaging_plan","B",""
"b10","lab_plan","TIE",""
"b10","medication_plan","A",""
"b10","recent_changes","TIE",""
"b11","current_meds","A",""
"b11","stage","TIE",""
"b11","distant_met","TIE",""
"b11","metastasis","TIE",""
"b11","response","TIE",""
"b11","type_receptor","TIE",""
"b11","genetic_results","TIE",""
"b11","genetic_plan","TIE",""
"b11","supportive_meds","TIE",""
"b11","procedure_plan","TIE",""
"b11","imaging_plan","TIE",""
"b11","lab_plan","TIE",""
"b11","medication_plan","TIE",""
"b11","recent_changes","A",""
"b12","current_meds","A",""
"b12","stage","TIE",""
"b12","distant_met","TIE",""
"b12","metastasis","TIE",""
"b12","response","TIE",""
"b12","type_receptor","B",""
"b12","genetic_results","TIE",""
"b12","supportive_meds","TIE",""
"b12","procedure_plan","TIE",""
"b12","imaging_plan","TIE",""
"b12","lab_plan","TIE",""
"b12","medication_plan","A",""
"b12","recent_changes","TIE",""
"b13","current_meds","A",""
"b13","stage","B",""
"b13","distant_met","TIE",""
"b13","metastasis","A",""
"b13","response","TIE",""
"b13","type_receptor","TIE",""
"b13","genetic_results","TIE",""
"b13","genetic_plan","TIE",""
"b13","supportive_meds","TIE",""
"b13","procedure_plan","B",""
"b13","imaging_plan","B",""
"b13","lab_plan","TIE",""
"b13","medication_plan","TIE",""
"b13","recent_changes","TIE",""
"b13","lab_summary","TIE",""
"b13","findings","A",""
"b14","current_meds","A",""
"b14","metastasis","TIE",""
"b14","response","TIE",""
"b14","distant_met","TIE",""
"b14","stage","TIE",""
"b14","type_receptor","A",""
"b14","genetic_results","A",""
"b14","genetic_plan","A",""
"b14","supportive_meds","B",""
"b14","procedure_plan","TIE",""
"b14","imaging_plan","TIE",""
"b14","lab_plan","TIE",""
"b14","medication_plan","A",""
"b14","recent_changes","A",""
"b15","current_meds","A",""
"b15","stage","A",""
"b15","distant_met","A",""
"b15","metastasis","A",""
"b15","response","TIE",""
"b15","type_receptor","A",""
"b15","genetic_results","TIE",""
"b15","genetic_plan","TIE",""
"b15","supportive_meds","A",""
"b15","procedure_plan","TIE",""
"b15","imaging_plan","TIE",""
"b15","lab_plan","TIE",""
"b15","medication_plan","A",""
"b15","recent_changes","TIE",""
"b16","current_meds","A",""
"b16","stage","TIE",""
"b16","distant_met","TIE",""
"b16","metastasis","TIE",""
"b16","response","TIE",""
"b16","type_receptor","B",""
"b16","genetic_results","TIE",""
"b16","genetic_plan","TIE",""
"b16","supportive_meds","TIE",""
"b16","procedure_plan","TIE",""
"b16","imaging_plan","TIE",""
"b16","lab_plan","A",""
"b16","medication_plan","A",""
"b16","recent_changes","TIE",""
"b17","current_meds","A",""
"b17","stage","TIE",""
"b17","distant_met","TIE",""
"b17","metastasis","A",""
"b17","response","TIE",""
"b17","type_receptor","TIE",""
"b17","genetic_results","A",""
"b17","genetic_plan","TIE",""
"b17","supportive_meds","B",""
"b17","procedure_plan","TIE",""
"b17","imaging_plan","TIE",""
"b17","findings","A",""
"b17","lab_summary","TIE",""
"b17","recent_changes","TIE",""
"b17","medication_plan","A",""
"b17","lab_plan","B",""
"b18","current_meds","A",""
"b18","stage","TIE",""
"b18","distant_met","TIE",""
"b18","metastasis","TIE",""
"b18","response","TIE",""
"b18","type_receptor","B",""
"b18","genetic_results","A",""
"b18","genetic_plan","TIE",""
"b18","supportive_meds","TIE",""
"b18","procedure_plan","A",""
"b18","imaging_plan","TIE",""
"b18","lab_plan","TIE",""
"b18","medication_plan","A",""
"b18","recent_changes","TIE",""
"b19","current_meds","A",""
"b19","stage","A",""
"b19","distant_met","TIE",""
"b19","metastasis","TIE",""
"b19","response","TIE",""
"b19","type_receptor","TIE",""
"b19","genetic_results","A",""
"b19","genetic_plan","TIE",""
"b19","supportive_meds","A",""
"b19","procedure_plan","TIE",""
"b19","medication_plan","A",""
"b19","lab_plan","TIE",""
"b19","imaging_plan","A",""
"b19","lab_summary","TIE",""
"b19","findings","TIE",""
"b20","current_meds","TIE",""
"b20","stage","A",""
"b20","distant_met","B",""
"b20","metastasis","B",""
"b20","response","TIE",""
"b20","type_receptor","A",""
"b20","genetic_results","B",""
"b20","genetic_plan","A",""
"b20","supportive_meds","TIE",""
"b20","procedure_plan","TIE",""
"b20","imaging_plan","TIE",""
"b20","medication_plan","A",""
"b20","lab_plan","TIE",""
"b20","recent_changes","TIE",""
"b1","current_meds","A",""
"b1","stage","A",""
"b1","distant_met","TIE",""
"b1","metastasis","A",""
"b1","response","TIE",""
"b1","type_receptor","A",""
"b1","genetic_results","TIE",""
"b1","genetic_plan","TIE",""
"b1","supportive_meds","TIE",""
"b1","procedure_plan","TIE",""
"b1","imaging_plan","TIE",""
"b1","lab_plan","TIE",""
"b1","medication_plan","TIE",""
"b1","recent_changes","TIE",""
