Term,Easy,Formal
menopause,The end of menstrual periods.,"The time of life when a woman’s ovaries stop producing hormones and menstrual periods stop. Natural menopause usually occurs around age 50. A woman is said to be in menopause when she hasn’t had a period for 12 months in a row. Symptoms of menopause include hot flashes, mood swings, night sweats, vaginal dryness, trouble concentrating, and infertility."
mutation,"Any change in the DNA sequence of a cell. Mutations may be caused by mistakes during cell division, or they may be caused by exposure to DNA-damaging agents in the environment. Mutations can be harmful, beneficial, or have no effect. If they occur in cells that make eggs or sperm, they can be inherited; if mutations occur in other types of cells, they are not inherited. Certain mutations may lead to cancer or other diseases. A mutation is sometimes called a variant.","Any change in the DNA sequence of a cell. Mutations may be caused by mistakes during cell division, or they may be caused by exposure to DNA-damaging agents in the environment. Mutations can be harmful, beneficial, or have no effect. If they occur in cells that make eggs or sperm, they can be inherited; if mutations occur in other types of cells, they are not inherited. Certain mutations may lead to cancer or other diseases. A mutation is sometimes called a variant."
oncologist,"A doctor who has special training in diagnosing and treating cancer. Some oncologists specialize in a particular type of cancer treatment. For example, a radiation oncologist specializes in treating cancer with radiation.","A doctor who has special training in diagnosing and treating cancer. Some oncologists specialize in a particular type of cancer treatment. For example, a radiation oncologist specializes in treating cancer with radiation."
ovarian suppression,Methods used to lower hormone levels made by the ovaries.,"Treatment that stops or lowers the amount of estrogen made by the ovaries. Types of ovarian suppression include surgery to remove both ovaries, radiation therapy, and the use of certain drugs. Ovarian suppression may be used to prevent and treat breast cancer. Also called ovarian ablation."
ovary,One of a pair of glands that produce eggs and hormones. There is one ovary on each side of the uterus.,"One of a pair of female glands in which the eggs form and the female hormones estrogen and progesterone are made. These hormones play an important role in female traits, such as breast development, body shape, and body hair. They are also involved in the menstrual cycle, fertility, and pregnancy. There is one ovary on each side of the uterus."
pathologist,A doctor who has special training in identifying diseases by studying cells and tissues under a microscope.,A doctor who has special training in identifying diseases by studying cells and tissues under a microscope.
prognosis,The pattern and outcome of a disease.,The likely outcome or course of a disease; the chance of recovery or recurrence.
psychosocial,"Having to do with the mental, emotional, social, and spiritual aspects.","In medicine, having to do with the mental, emotional, social, and spiritual effects of a disease, such as cancer. Some of the psychosocial effects of cancer are changes in how a patient thinks, their feelings, moods, beliefs, ways of coping, and relationships with family, friends, and co-workers. There are different kinds of psychosocial support that can help cancer patients, including counseling, education, group support, and spiritual support."
psychosocial support,"Support given to help meet the mental, emotional, social, and spiritual needs. Types of psychosocial support include counseling, education, group support, and spiritual support.","In medicine, support given to help meet the mental, emotional, social, and spiritual needs of patients and their families. Diseases, such as cancer, can affect a patient’s thoughts, feelings, moods, beliefs, ways of coping, and relationships with family, friends, and co-workers. There are different kinds of psychosocial support that can help cancer patients. These include counseling, education, group support, and spiritual support."
radiation oncologist,A doctor who’s an expert in treating cancer with radiation.,A doctor who has special training in using radiation to treat cancer.
radiation therapy,"The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy.","The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy."
recurrence,"Cancer that has recurred (come back), usually after a period of time during which the cancer could not be detected. The cancer may come back to the same place as the original (primary) tumor or to another place in the body. Also called recurrent cancer.","Cancer that has recurred (come back), usually after a period of time during which the cancer could not be detected. The cancer may come back to the same place as the original (primary) tumor or to another place in the body. Also called recurrent cancer."
refractory cancer,A cancer that does not improve with treatment.,Cancer that does not respond to treatment. The cancer may be resistant at the beginning of treatment or it may become resistant during treatment. Also called resistant cancer.
relapse,The return or worsening of cancer after a period of improvement.,"The return of a disease or the signs and symptoms of a disease after a period of improvement. Relapse also refers to returning to the use of an addictive substance or behavior, such as cigarette smoking."
reproductive system,"The group of organs that work together to make a baby. They include the vagina, cervix, uterus, fallopian tubes, ovaries, penis, testicles, and prostate.","The tissues, glands, and organs involved in producing offspring (children). In women, the reproductive system includes the ovaries, the fallopian tubes, the uterus, the cervix, and the vagina. In men, it includes the prostate, the testes, and the penis."
semen,The fluid that is released through the penis during orgasm. Semen is made up of sperm from the testicles and fluid from the prostate and other sex glands. Also called ejaculate.,The fluid that is released through the penis during orgasm. Semen is made up of sperm from the testicles and fluid from the prostate and other sex glands.
side effect,An unhealthy or unpleasant physical or emotional response to treatment.,"An effect of a drug or other type of treatment that is in addition to or beyond its desired effect. Side effects can be harmful or beneficial, and most go away on their own over time. Others may last past treatment or appear long after treatment has ended. Some common side effects of cancer treatment are nausea, vomiting, fatigue, pain, decreased blood cell counts, hair loss, and mouth sores."
sperm,Cell formed in the testicle.,"The male reproductive cell, formed in the testicle. A sperm unites with an egg to form an embryo."
sperm aspiration,A procedure in which a sample of sperm cells is removed from the testicle through a small needle attached to a syringe.,"A procedure in which a sample of sperm cells is removed from the testicle or epididymis through a small needle attached to a syringe. The sperm is looked at under a microscope in the laboratory, where it may be used right away to fertilize eggs or frozen for future infertility treatment. Sperm aspiration may be useful for men who have fertility problems caused by a blockage that keeps sperm from being ejaculated. It may also be useful for men who want to have children after having treatment that may cause infertility, such as certain cancer treatments. Sperm aspiration is a type of sperm retrieval method."
sperm banking,The process of freezing sperm and storing it for future use. Samples of semen are collected and checked under a microscope in the laboratory to count sperm cells and find out how healthy they are. The sperm cells are then frozen and stored. Also called sperm cryopreservation.,"The process of freezing sperm and storing it for future use. Samples of semen are collected and checked under a microscope in the laboratory to count sperm cells and find out how healthy they are. The sperm cells are then frozen and stored. Sperm banking is often used for men who want to have children after having treatment that may cause infertility, such as certain cancer treatments. Sperm banking is a type of fertility preservation. Also called sperm cryopreservation."
sperm count,A count of the number of sperm in a sample of semen. A sperm count may be used as a measure of fertility.,A count of the number of sperm in a sample of semen. A sperm count may be used as a measure of fertility.
3D-CRT,Three-dimensional conformal radiation therapy.,"A procedure that uses a computer to create a 3-dimensional picture of the tumor. This allows doctors to give the highest possible dose of radiation to the tumor, while sparing the normal tissue as much as possible. Also called 3-dimensional conformal radiation therapy and 3-dimensional radiation therapy."
adenocarcinoma,"Cancer that forms in the glandular tissue, which lines certain internal organs and makes and releases substances in the body, such as mucus, digestive juices, and other fluids. Most cancers of the breast, lung, esophagus, stomach, colon, rectum, pancreas, prostate, and uterus are adenocarcinomas.","Cancer that forms in the glandular tissue, which lines certain internal organs and makes and releases substances in the body, such as mucus, digestive juices, and other fluids. Most cancers of the breast, lung, esophagus, stomach, colon, rectum, pancreas, prostate, and uterus are adenocarcinomas."
alveoli,The tiny sacs in the lungs where gases are transferred in and out of the blood.,Tiny air sacs at the end of the bronchioles (tiny branches of air tubes in the lungs). The alveoli are where the lungs and the blood exchange oxygen and carbon dioxide during the process of breathing in and breathing out. Oxygen breathed in from the air passes through the alveoli and into the blood and travels to the tissues throughout the body. Carbon dioxide travels in the blood from the body's tissues and passes through the alveoli to be breathed out.
bronchoscope,A device that is guided down the throat to look inside the airways.,"A thin, tube-like instrument used to examine the inside of the trachea, bronchi (air passages that lead to the lungs), and lungs. A bronchoscope has a light and a lens for viewing, and may have a tool to remove tissue."
bronchoscopy,A procedure to look inside the airways with a device that is guided down the throat.,"A procedure that uses a bronchoscope to examine the inside of the trachea, bronchi (air passages that lead to the lungs), and lungs. A bronchoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease. The bronchoscope is inserted through the nose or mouth. Bronchoscopy may be used to detect cancer or to perform some treatment procedures."
bronchus,One of the two main airways that extends into the lungs.,A large airway that leads from the trachea (windpipe) to a lung. The plural of bronchus is bronchi.
carcinoma,A cancer of cells that line the inner or outer surfaces of the body.,Cancer that begins in the skin or in tissues that line or cover internal organs.
chemoimmunotherapy,A combined treatment with both chemotherapy and immunotherapy.,Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.
chemoradiation,A cancer treatment with both cell-killing drugs and high-energy rays.,Treatment that combines chemotherapy with radiation therapy. Also called chemoradiotherapy.
chemotherapy,"Treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Chemotherapy may be given by mouth, injection, or infusion, or on the skin, depending on the type and stage of the cancer being treated. It may be given alone or with other treatments, such as surgery, radiation therapy, or biologic therapy.","Treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Chemotherapy may be given by mouth, injection, or infusion, or on the skin, depending on the type and stage of the cancer being treated. It may be given alone or with other treatments, such as surgery, radiation therapy, or biologic therapy."
chest wall,"The layer of muscle, bone, and fat that protects the vital organs.","The skin, fat, muscles, bones, and other tissues that form a protective structure around vital organs in the area between the neck and the abdomen, including the heart, major blood vessels, lungs, and liver. The bones in the chest wall include the ribs, sternum (breastbone), and spine. The chest wall also helps support breathing and movement of the upper arms and shoulders."
clinical stage,The rating of the extent of cancer before treatment is started.,"The stage of cancer (amount or spread of cancer in the body) that is based on tests that are done before surgery. These include physical exams, imaging tests, laboratory tests (such as blood tests), and biopsies."
diagnosis,An identification of an illness based on tests.,"The process of identifying a disease, condition, or injury from its signs and symptoms. A health history, physical exam, and tests, such as blood tests, imaging tests, and biopsies, may be used to help make a diagnosis."
esophagus,The tube-shaped organ between the mouth and stomach.,The muscular tube through which food passes from the throat to the stomach.
FDA,Food and Drug Administration.,"An agency in the U.S. federal government whose mission is to protect public health by making sure that food, cosmetics, and nutritional supplements are safe to use and truthfully labeled. The FDA also makes sure that drugs, medical devices, and equipment are safe and effective, and that blood for transfusions and transplant tissue are safe. Also called Food and Drug Administration."
immunotherapy,"A type of therapy that uses substances to stimulate or suppress the immune system to help the body fight cancer, infection, and other diseases. Some types of immunotherapy only target certain cells of the immune system. Others affect the immune system in a general way. Types of immunotherapy include cytokines, vaccines, bacillus Calmette-Guerin (BCG), and some monoclonal antibodies.","A type of therapy that uses substances to stimulate or suppress the immune system to help the body fight cancer, infection, and other diseases. Some types of immunotherapy only target certain cells of the immune system. Others affect the immune system in a general way. Types of immunotherapy include cytokines, vaccines, bacillus Calmette-Guerin (BCG), and some monoclonal antibodies."
lobe,A clearly seen division in an organ.,"A portion of an organ, such as the liver, lung, breast, thyroid, or brain."
lobectomy,An operation that removes a whole lobe of an organ.,"Surgery to remove a whole lobe (section) of an organ (such as the lungs, liver, brain, or thyroid gland)."
lymph node,"A small bean-shaped structure that is part of the body’s immune system. Lymph nodes filter substances that travel through the lymphatic fluid, and they contain lymphocytes (white blood cells) that help the body fight infection and disease. There are hundreds of lymph nodes found throughout the body. They are connected to one another by lymph vessels. Clusters of lymph nodes are found in the neck, axilla (underarm), chest, abdomen, and groin. For example, there are about 20-40 lymph nodes in the axilla. Also called lymph gland.","A small bean-shaped structure that is part of the body’s immune system. Lymph nodes filter substances that travel through the lymphatic fluid, and they contain lymphocytes (white blood cells) that help the body fight infection and disease. There are hundreds of lymph nodes found throughout the body. They are connected to one another by lymph vessels. Clusters of lymph nodes are found in the neck, axilla (underarm), chest, abdomen, and groin. For example, there are about 20-40 lymph nodes in the axilla. Also called lymph gland."
mediastinoscopy,A procedure to do work in the chest with a device passed through a small cut in the skin.,"A procedure in which a mediastinoscope is used to examine the organs in the area between the lungs and nearby lymph nodes. A mediastinoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease. The mediastinoscope is inserted into the chest through an incision above the breastbone. This procedure is usually done to get a tissue sample from the lymph nodes on the right side of the chest."
mediastinum,The area of the chest between the lungs.,"The area between the lungs. The organs in this area include the heart and its large blood vessels, the trachea, the esophagus, the thymus, and lymph nodes but not the lungs."
medical history,A report of all your health events and medications.,"A record of information about a person’s health. A personal medical history may include information about allergies, illnesses, surgeries, immunizations, and results of physical exams and tests. It may also include information about medicines taken and health habits, such as diet and exercise. A family medical history includes health information about a person’s close family members (parents, grandparents, children, brothers, and sisters). This includes their current and past illnesses. A family medical history may show a pattern of certain diseases in a family. Also called health history."
metastasis,"The spread of cancer cells from the place where they first formed to another part of the body. In metastasis, cancer cells break away from the original (primary) tumor, travel through the blood or lymph system, and form a new tumor in other organs or tissues of the body. The new, metastatic tumor is the same type of cancer as the primary tumor. For example, if breast cancer spreads to the lung, the cancer cells in the lung are breast cancer cells, not lung cancer cells.","The spread of cancer cells from the place where they first formed to another part of the body. In metastasis, cancer cells break away from the original (primary) tumor, travel through the blood or lymph system, and form a new tumor in other organs or tissues of the body. The new, metastatic tumor is the same type of cancer as the primary tumor. For example, if breast cancer spreads to the lung, the cancer cells in the lung are breast cancer cells, not lung cancer cells."
neoadjuvant therapy,"Treatment given as a first step to shrink a tumor before the main treatment, which is usually surgery, is given. Examples of neoadjuvant therapy include chemotherapy, radiation therapy, and hormone therapy. It is a type of induction therapy.","Treatment given as a first step to shrink a tumor before the main treatment, which is usually surgery, is given. Examples of neoadjuvant therapy include chemotherapy, radiation therapy, and hormone therapy. It is a type of induction therapy."
nodule,A small mass of tissue.,A growth or lump that may be malignant (cancer) or benign (not cancer).
pneumonectomy,An operation that removes the entire lung.,"Surgery to remove all of one lung. In a partial pneumonectomy, one or more lobes of a lung are removed."
primary tumor,The main mass of a certain type of cancer cell.,"A term used to describe the original, or first, tumor in the body. Cancer cells from a primary tumor may spread to other parts of the body and form new, or secondary, tumors. This is called metastasis. These secondary tumors are the same type of cancer as the primary tumor. Also called primary cancer."
pulmonologist,A doctor who’s an expert in lung diseases.,A doctor who has special training in diagnosing and treating diseases of the lungs. Also called pulmonary specialist.
respiratory system,The group of organs that transfers gases in and out of the body.,"The organs that are involved in breathing. These include the nose, throat, larynx, trachea, bronchi, and lungs. Also called respiratory tract."
segmentectomy,An operation that removes a large part of a lobe.,"Surgery to remove part of an organ or gland. It may also be used to remove a tumor and normal tissue around it. In lung cancer surgery, segmentectomy refers to removing a section of a lobe of the lung. Also called segmental resection."
sleeve lobectomy,An operation to remove an entire lobe and part of the bronchus.,Surgery to remove a lung tumor in a lobe of the lung and a part of the main bronchus (airway). The ends of the bronchus are rejoined and any remaining lobes are reattached to the bronchus. This surgery is done to save part of the lung. Also called sleeve resection.
small cell lung cancer,An aggressive (fast-growing) cancer that forms in tissues of the lung and can spread to other parts of the body. The cancer cells look small and oval-shaped when looked at under a microscope.,An aggressive (fast-growing) cancer that forms in tissues of the lung and can spread to other parts of the body. The cancer cells look small and oval-shaped when looked at under a microscope.
squamous cell carcinoma,A type of cancer of thin and flat cells that line the surface of organs.,"Cancer that begins in squamous cells. Squamous cells are thin, flat cells that look like fish scales, and are found in the tissue that forms the surface of the skin, the lining of the hollow organs of the body, and the lining of the respiratory and digestive tracts. Most cancers of the anus, cervix, head and neck, and vagina are squamous cell carcinomas. Also called epidermoid carcinoma."
supportive care,"Care given to improve the quality of life of people who have an illness or disease by preventing or treating, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. Supportive care includes physical, psychological, social, and spiritual support for patients and their families. There are many types of supportive care. Examples include pain management, nutritional support, counseling, exercise, music therapy, meditation, and palliative care. Supportive care may be given with other treatments from the time of diagnosis until the end of life.","Care given to improve the quality of life of people who have an illness or disease by preventing or treating, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. Supportive care includes physical, psychological, social, and spiritual support for patients and their families. There are many types of supportive care. Examples include pain management, nutritional support, counseling, exercise, music therapy, meditation, and palliative care. Supportive care may be given with other treatments from the time of diagnosis until the end of life."
surgery,An operation to remove or repair a part of the body.,A procedure to remove or repair a part of the body or to find out whether disease is present. Also called operation.
targeted therapy,"A type of treatment that uses drugs or other substances to target specific molecules that cancer cells need to survive and spread. Targeted therapies work in different ways to treat cancer. Some stop cancer cells from growing by interrupting signals that cause them to grow and divide, stopping signals that help form blood vessels, delivering cell-killing substances to cancer cells, or starving cancer cells of hormones they need to grow. Other targeted therapies help the immune system kill cancer cells or directly cause cancer cell death. Most targeted therapies are either small-molecule drugs or monoclonal antibodies. Also called molecularly targeted therapy.","A type of treatment that uses drugs or other substances to target specific molecules that cancer cells need to survive and spread. Targeted therapies work in different ways to treat cancer. Some stop cancer cells from growing by interrupting signals that cause them to grow and divide, stopping signals that help form blood vessels, delivering cell-killing substances to cancer cells, or starving cancer cells of hormones they need to grow. Other targeted therapies help the immune system kill cancer cells or directly cause cancer cell death. Most targeted therapies are either small-molecule drugs or monoclonal antibodies. Also called molecularly targeted therapy."
thoracic surgeon,A doctor who’s an expert in operating on organs inside the chest.,"A surgeon who has special training in operating on organs inside the chest, including the heart and lungs."
ultrasound,A test that uses sound waves to take pictures of the inside of the body.,"A procedure that uses high-energy sound waves to look at tissues and organs inside the body. The sound waves make echoes that form pictures of the tissues and organs on a computer screen (sonogram). Ultrasound may be used to help diagnose diseases, such as cancer. It may also be used during pregnancy to check the fetus (unborn baby) and during medical procedures, such as biopsies. Also called ultrasonography."
wedge resection,An operation that removes a small part of a lobe.,Surgery to remove a triangle-shaped slice of tissue. It may be used to remove a tumor and a small amount of normal tissue around it.
adjuvant therapy,"Additional cancer treatment given after the primary treatment to lower the risk that the cancer will come back. Adjuvant therapy may include chemotherapy, radiation therapy, hormone therapy, targeted therapy, or biological therapy.","Additional cancer treatment given after the primary treatment to lower the risk that the cancer will come back. Adjuvant therapy may include chemotherapy, radiation therapy, hormone therapy, targeted therapy, or biological therapy."
adrenal gland,A small organ on top of each kidney that makes hormones.,"One of a pair of small, triangle-shaped glands on top of each kidney. Each adrenal gland has two parts: the adrenal cortex (the outer layer of the adrenal gland) and the adrenal medulla (the center of the adrenal gland). The adrenal glands make steroid hormones, adrenaline, and noradrenaline. These hormones help control many important body functions, including heart rate, blood pressure, blood sugar, metabolism, and the way the body reacts to stress. They also balance water and salt in the body and make hormones involved in the development of sex characteristics. Also called suprarenal gland."
anus,The opening of the intestinal tract between the legs through which stool passes out of the body.,The opening of the rectum to the outside of the body.
appendix,A small tube-like organ attached to the first section of the large intestine.,"A small, fingerlike pouch that sticks out from the cecum (the first part of the large intestine near the end of the small intestine)."
carcinoid syndrome,A group of symptoms that happen when carcinoid tumors release serotonin and other chemicals into the blood.,"A combination of symptoms caused by the release of serotonin and other substances from carcinoid tumors of the gastrointestinal tract. Symptoms may include flushing of the face, flat angiomas (small collections of dilated blood vessels) of the skin, diarrhea, bronchial spasms, rapid pulse, and sudden drops in blood pressure."
carcinoid tumor,"A neuroendocrine tumor found most commonly in the gastrointestinal tract, lungs, bronchi, thymus, and other areas in the body. It may secrete the hormone serotonin and other chemicals.","A slow-growing type of tumor usually found in the gastrointestinal system (most often in the small intestine and rectum), and sometimes in the lungs or other sites. Carcinoid tumors may spread to the liver or other sites in the body, and they may secrete substances such as serotonin or prostaglandins, causing carcinoid syndrome."
colon,"The longest part of the large intestine (a tube-like organ connected to the small intestine at one end and the anus at the other). The colon removes water and some nutrients and electrolytes from partially digested food. The remaining material, solid waste called stool, moves through the colon, is stored in the rectum, and leaves the body through the anus. The colon is part of the digestive system.","The longest part of the large intestine (a tube-like organ connected to the small intestine at one end and the anus at the other). The colon removes water and some nutrients and electrolytes from partially digested food. The remaining material, solid waste called stool, moves through the colon, is stored in the rectum, and leaves the body through the anus. The colon is part of the digestive system."
cortisol,"A hormone that controls blood sugar, metabolism, and other functions in the body.","A hormone made by the adrenal cortex (the outer layer of the adrenal gland). It helps the body use glucose (a sugar), protein, and fats. Cortisol made in the laboratory is called hydrocortisone. It is used to treat many conditions, including inflammation, allergies, and some cancers. Cortisol is a type of glucocorticoid hormone."
Cushing syndrome,A condition caused by the release of excess cortisol in the body.,"A condition in which there is too much cortisol (a hormone made by the outer layer of the adrenal gland) in the body. Cushing syndrome may be caused by taking too many steroid drugs or by certain types of tumors. Tumors that make adrenocorticotropic hormone (ACTH) cause the adrenal gland to make too much cortisol. Symptoms of Cushing syndrome include a round face, thin arms and legs, severe fatigue and muscle weakness, high blood pressure, high blood sugar, purple or pink stretch marks on the skin, and weight gain, especially in the abdomen. Also called hypercortisolism."
duodenum,A part of the digestive tract that receives food from the stomach and mixes it with digestive juices.,"The first part of the small intestine. It connects to the stomach. The duodenum helps to further digest food coming from the stomach. It absorbs nutrients (vitamins, minerals, carbohydrates, fats, proteins) and water from food so they can be used by the body."
endoscope,A device that is passed through a natural opening to do work inside the body.,"A thin, tube-like instrument used to look at tissues inside the body. An endoscope has a light and a lens for viewing and may have a tool to remove tissue."
enucleation,"Removal of an organ or tumor in such a way that it comes out clean and whole, like a nut from its shell.","In medicine, the removal of an organ or tumor in such a way that it comes out clean and whole, like a nut from its shell."
gastrin,A hormone made and released by the stomach.,A hormone released from special cells in the lining of the stomach after eating. Gastrin causes the stomach to release an acid that helps digest food.
genetic testing,"A laboratory method that looks for changes in genes, gene expression, or chromosomes in a person’s cells or tissues. Genetic testing may be done to look for inherited changes in a person's genes that may be a sign that the person has an increased risk of developing a specific disease or condition or of having a child or other family member with the disease or condition. This type of genetic testing is called germline testing. Genetic testing is also done on tumor tissue to look for genetic changes in the cancer cells. These changes occur during a person’s lifetime and are not inherited from a parent. This type of genetic testing, called somatic testing, is done to learn more about the cancer, plan treatment, or find out how well treatment is working.","A laboratory method that looks for changes in genes, gene expression, or chromosomes in a person’s cells or tissues. Genetic testing may be done to look for inherited changes in a person's genes that may be a sign that the person has an increased risk of developing a specific disease or condition or of having a child or other family member with the disease or condition. This type of genetic testing is called germline testing. Genetic testing is also done on tumor tissue to look for genetic changes in the cancer cells. These changes occur during a person’s lifetime and are not inherited from a parent. This type of genetic testing, called somatic testing, is done to learn more about the cancer, plan treatment, or find out how well treatment is working."
glucagon,A hormone made by the pancreas that works with insulin to control blood sugar levels.,A hormone produced by the pancreas that increases the level of glucose (sugar) in the blood.
hereditary,Passed down from parent to child through coded information in cells.,"In medicine, describes the passing of genetic information from parent to child through the genes in sperm and egg cells. Also called inherited."
hives,A skin rash caused by the body trying to rid itself of a foreign substance.,"Itchy, raised red areas on the skin. Hives are caused by a reaction to certain foods, drugs, infections, or emotional stress. Also called urticaria."
hypothalamus,A part of the brain that works with the nervous system and glands that make hormones in the body.,"The area of the brain that controls body temperature, hunger, and thirst."
ileum,The last section of the small intestine.,"The last part of the small intestine. It connects to the cecum (first part of the large intestine). The ileum helps to further digest food coming from the stomach and other parts of the small intestine. It absorbs nutrients (vitamins, minerals, carbohydrates, fats, proteins) and water from food so they can be used by the body."
imaging,A test that makes pictures (images) of the insides of the body.,"In medicine, a process that makes pictures of areas inside the body. Imaging uses methods such as x-rays (high-energy radiation), ultrasound (high-energy sound waves), and radio waves."
immune system,The body’s natural defense against infection and disease.,"A complex network of cells, tissues, organs, and the substances they make that helps the body fight infections and other diseases. The immune system includes white blood cells and organs and tissues of the lymph system, such as the thymus, spleen, tonsils, lymph nodes, lymph vessels, and bone marrow."
insulin,A chemical that controls the amount of sugar in the blood. It lowers the blood sugar levels.,"A hormone made by the islet cells of the pancreas. Insulin controls the amount of sugar in the blood by moving it into the cells, where it can be used by the body for energy."
jejunum,The middle section of the small intestine.,"The middle part of the small intestine. It is between the duodenum (first part of the small intestine) and the ileum (last part of the small intestine). The jejunum helps to further digest food coming from the stomach. It absorbs nutrients (vitamins, minerals, carbohydrates, fats, proteins) and water from food so they can be used by the body."
liver,The largest organ and gland in the body with many vital functions.,A large organ located in the upper abdomen. The liver cleanses the blood and aids in digestion by secreting bile.
lung,One of a pair of organs that consists of airways and air sacs.,"One of a pair of organs in the chest that supplies the body with oxygen, and removes carbon dioxide from the body."
observation,"In medicine, watching a patient’s condition but not giving treatment unless symptoms appear or change.","In medicine, watching a patient’s condition but not giving treatment unless symptoms appear or change."
palliative care,"Care given to improve the quality of life and help reduce pain in people who have a serious or life-threatening disease, such as cancer. The goal of palliative care is to prevent or treat, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. It also attends to the psychological, social, and spiritual problems caused by the disease or its treatment. For cancer, palliative care may include therapies, such as surgery, radiation therapy, or chemotherapy, to remove, shrink, or slow the growth of a tumor that is causing pain. It may also include family and caregiver support. Palliative care may be given with other treatments from the time of diagnosis until the end of life.","Care given to improve the quality of life and help reduce pain in people who have a serious or life-threatening disease, such as cancer. The goal of palliative care is to prevent or treat, as early as possible, the symptoms of the disease and the side effects caused by treatment of the disease. It also attends to the psychological, social, and spiritual problems caused by the disease or its treatment. For cancer, palliative care may include therapies, such as surgery, radiation therapy, or chemotherapy, to remove, shrink, or slow the growth of a tumor that is causing pain. It may also include family and caregiver support. Palliative care may be given with other treatments from the time of diagnosis until the end of life."
pancreas,An organ that makes fluids that help digest food and hormones that control blood sugar.,"A glandular organ located in the abdomen. It makes pancreatic juices, which contain enzymes that aid in digestion, and it produces several hormones, including insulin. The pancreas is surrounded by the stomach, intestines, and other organs."
