Original terms,NIH cancer institue,NIH cancer institue,National library of medicine,,,,,
Advanced-stage prostate cancer,stage IV prostate cancer,"Stage IV is divided into stages IVA and IVB. In stage IVA, cancer is found in one or both sides of the prostate and may have spread to the seminal vesicles or to nearby tissue or organs, such as the rectum, bladder, or pelvic wall. Cancer has spread to nearby lymph nodes. The prostate-specific antigen (PSA) can be any level and the Grade Group is 1, 2, 3, 4, or 5 (Gleason score is 10 or less). In stage IVB, cancer has spread to other parts of the body, such as the bones or distant lymph nodes.",,,,,,
aggressive cancer,aggressive,"In medicine, describes a tumor or disease that forms, grows, or spreads quickly.",,,,,,
AJCC,AJCC staging system,"A system to describe the amount and spread of cancer in a patient’s body, using TNM. T describes the size of the tumor and any spread of cancer into nearby tissue; N describes spread of cancer to nearby lymph nodes; and M describes metastasis (spread of cancer to other parts of the body). This system was created and is updated by the American Joint Committee on Cancer (AJCC) and the International Union Against Cancer (UICC). The AJCC staging system is used to describe most types of cancer. Also called TNM staging system.",,,,,,
allergic reaction,allergic response,A hypersensitive immune reaction to a substance that normally is harmless or would not cause an immune response in most people. An allergic response may cause harmful symptoms such as itching or inflammation or tissue injury.,,,,,,
Allogeneic,allogeneic,Taken from different individuals of the same species. Also called allogenic.,,,,,,
allogeneic hematopoietic cell transplant (allogenic HCT),allogeneic stem cell transplant,"A procedure in which a patient receives healthy blood-forming cells (stem cells) from a donor to replace their own stem cells that have been destroyed by treatment with radiation or high doses of chemotherapy. In an allogeneic stem cell transplant, the healthy stem cells may come from the blood or bone marrow of a related donor who is not an identical twin of the patient or from an unrelated donor who is genetically similar to the patient. An allogeneic stem cell transplant is most often used to treat blood cancers, such as leukemia and lymphoma, and certain types of blood or immune system disorders.",,,,,,
Androgen deprivation therapy (ADT),androgen deprivation,"Treatment to suppress or block the production or action of male hormones. This is done by having the testicles removed, by taking female sex hormones, or by taking drugs called antiandrogens. Also called 44369 and androgen ablation.",,,,,,
Anti-androgen,antiandrogen,"A substance that keeps androgens (male sex hormones) from binding to proteins called androgen receptors, which are found in normal prostate cells, some prostate cancer cells, and in cells of some other tissues. Preventing this binding blocks the effects of these hormones in the body. Treatment with antiandrogens may keep prostate cancer cells from growing. Examples of antiandrogens used to treat prostate cancer are apalutamide, bicalutamide, darolutamide, enzalutamide, flutamide, and nilutamide. Also called androgen receptor antagonist and androgen receptor blocker.",,,,,,
Antibody,antibody,A protein made by plasma cells (a type of white blood cell) in response to an antigen (a substance that causes the body to make a specific immune response). Each antibody can bind to only one specific antigen. The purpose of this binding is to help destroy the antigen. Some antibodies destroy antigens directly. Others make it easier for white blood cells to destroy the antigen. An antibody is a type of immunoglobulin.,,,,,,
Anti-estrogen,antiestrogen,"A substance that keeps cells from making or using estrogen (a hormone that plays a role in female sex characteristics, the menstrual cycle, and pregnancy). Antiestrogens may stop some cancer cells from growing and are used to prevent and treat breast cancer. They are also being studied in the treatment of other types of cancer. An antiestrogen is a type of hormone antagonist. Also called estrogen blocker.",,,,,,
aphasia,aphasia,"Aphasia is a disorder that results from damage to portions of the brain that are responsible for language. For most people, these areas are on the left side of the brain. Aphasia usually occurs suddenly, often following a stroke or head injury, but it may also develop slowly, as the result of a brain tumor or a progressive neurological disease. The disorder impairs the expression and understanding of language as well as reading and writing. Aphasia may co-occur with speech disorders, such as dysarthria or apraxia of speech, which also result from brain damage.",,,,,,
Areola,areola,The area of dark-colored skin on the breast that surrounds the nipple.,,,,,,
Aromatase Inhibitor (AI),aromatase inhibitor,"A drug that blocks the activity of an enzyme called aromatase, which the body uses to make estrogen in the ovaries and other tissues. Blocking aromatase lowers the amount of estrogen made by the body, which may stop the growth of cancer cells that need estrogen to grow. Aromatase inhibitors are used to treat some types of breast cancer or to keep it from coming back. They may also be used to help prevent breast cancer in some women who are at a high risk of developing it. Examples of aromatase inhibitors are anastrozole, letrozole, and exemestane. Aromatase inhibitors are a type of hormone therapy. Also called AI drug.",,,,,,
Autologous,autologous,"Taken from an individual's own tissues, cells, or DNA.",,,,,,
autologous hematopoietic cell transplant (autologous HCT),autologous stem cell transplant,"A procedure in which a patient’s healthy stem cells (blood-forming cells) are collected from the blood or bone marrow before treatment, stored, and then given back to the patient after treatment. An autologous stem cell transplant replaces a patient’s stem cells that were destroyed by treatment with radiation or high doses of chemotherapy. An autologous stem cell transplant is most often used to treat blood cancers, such as leukemia and lymphoma.",,,,,,
Axillary Lymph Node (ALN),axillary lymph node,A lymph node in the armpit region that drains lymph from the breast and nearby areas.,,,,,,
Axillary Lymph Node Dissection (ALND),axillary lymph node dissection,Surgery to remove lymph nodes found in the armpit region. Also called axillary dissection.,,,,,,
bacillus Calmette-Guérin (BCG),bacillus Calmette-Guérin,A weakened form of the bacterium Mycobacterium bovis (bacillus Calmette-Guérin) that does not cause disease. Bacillus Calmette-Guérin is used in a solution to stimulate the immune system in the treatment of bladder cancer and as a vaccine to prevent tuberculosis. Also called BCG.,,,,,,
B-cell aplasia,,,A condition characterized by extremely low B-cell counts. It occurs when anti-CD19 CAR T-cells attack and kill CD19-expressing B-lymphocytes,,,,,
BCR::ABL1 protein,BCR::ABL1 fusion protein,"A protein made from pieces of two genes that get joined together. The BCR::ABL1 fusion protein is found in most people with chronic myelogenous leukemia, and in some people with acute lymphoblastic leukemia or acute myelogenous leukemia. Inside the leukemia cells, the ABL1 gene from chromosome 9 joins to the BCR gene on chromosome 22 to form the BCR::ABL1 fusion gene, which makes the BCR::ABL1 fusion protein. Also called BCR-ABL1 fusion protein.",,,,,,
best supportive care,,,,,,,,
Bilateral Diagnostic Mammogram,diagnostic mammogram,An x-ray picture of the breast used to check for breast cancer after a lump or other sign or symptom of the disease has been found. It is also used to follow up on a suspicious change found during a screening mammogram. A diagnostic mammogram usually involves taking more detailed x-ray pictures of the breast from different angles to check the suspicious area more closely.,,,,,,
Bilateral Oophorectomy,oophorectomy,Surgery to remove one or both ovaries.,,,,,,
biochemical test,,,,,,,,
biomarkers,biomarker,"A biological molecule found in blood, other body fluids, or tissues that is a sign of a normal or abnormal process, or of a condition or disease. A biomarker may be used to see how well the body responds to a treatment for a disease or condition. Also called molecular marker and signature molecule.",,,,,,
Biomarkers,biomarker,"A biological molecule found in blood, other body fluids, or tissues that is a sign of a normal or abnormal process, or of a condition or disease. A biomarker may be used to see how well the body responds to a treatment for a disease or condition. Also called molecular marker and signature molecule.",,,,,,
biosimilar,biosimilar drug,"A biological drug that is very much like another biological drug (called the reference drug) that has already been approved by the U.S. Food and Drug Administration (FDA). Biosimilar drugs and reference drugs are made from living organisms but they may be made in different ways and of slightly different substances. To be called a biosimilar drug, a biological drug must be shown to be as safe as, work as well as, and work in the same way as its reference drug. It must also be used in the same way, at the same dose, and for the same condition as the reference drug. Biosimilar drugs must be approved by FDA, and may cost less than the reference drugs.",,,,,,
Biosimilar,biosimilar drug,"A biological drug that is very much like another biological drug (called the reference drug) that has already been approved by the U.S. Food and Drug Administration (FDA). Biosimilar drugs and reference drugs are made from living organisms but they may be made in different ways and of slightly different substances. To be called a biosimilar drug, a biological drug must be shown to be as safe as, work as well as, and work in the same way as its reference drug. It must also be used in the same way, at the same dose, and for the same condition as the reference drug. Biosimilar drugs must be approved by FDA, and may cost less than the reference drugs.",,,,,,
Blast,blast,An immature blood cell.,,,,,,
Blood stem cell,blood stem cell,"An immature cell that can develop into all types of blood cells, including white blood cells, red blood cells, and platelets. Blood stem cells are found in the peripheral blood and the bone marrow. Also called hematopoietic stem cell.",,,,,,
board certified,board certified,Board certification is a voluntary process that demonstrates a professional's advanced knowledge and skills in a specific field.,,,,,,
body plethysmograph,,,,,,,,
Bone marrow,bone marrow,"The soft, spongy tissue that has many blood vessels and is found in the center of most bones. There are two types of bone marrow: red and yellow. Red bone marrow contains blood stem cells that can become red blood cells, white blood cells, or platelets. Yellow bone marrow is made mostly of fat and contains stem cells that can become cartilage, fat, or bone cells.",,,,,,
Bone marrow aspirate,bone marrow aspiration,"A procedure in which a small sample of bone marrow is removed, usually from the hip bone, breastbone, or thigh bone. A small area of skin and the surface of the bone underneath are numbed with an anesthetic. Then, a special wide needle is pushed into the bone. A sample of liquid bone marrow is removed with a syringe attached to the needle. The bone marrow is sent to a laboratory to be looked at under a microscope. This procedure may be done at the same time as a bone marrow biopsy.",,,,,,
Bone marrow biopsy,bone marrow biopsy,"A procedure in which a small sample of bone with bone marrow inside it is removed, usually from the hip bone. A small area of skin and the surface of the bone underneath are numbed with an anesthetic. Then, a special, wide needle is pushed into the bone and rotated to remove a sample of bone with the bone marrow inside it. The sample is sent to a laboratory to be looked at under a microscope. This procedure may be done at the same time as a bone marrow aspiration.",,,,,,
Bone Mineral Density,bone mineral density,"A measure of the amount of minerals (mostly calcium and phosphorous) contained in a certain volume of bone. Bone mineral density measurements are used to diagnose osteoporosis (a condition marked by decreased bone mass), to see how well osteoporosis treatments are working, and to predict how likely the bones are to break. Low bone mineral density can occur in patients treated for cancer. Also called BMD, bone density, and bone mass.",,,,,,
Bone Scan,bone scan,"A procedure to check for abnormal areas or damage in the bones. A very small amount of radioactive material is injected into a vein and travels through the blood. The radioactive material collects in the bones and is detected by a scanner (a special camera that takes pictures of the inside of the body). A bone scan may be used to diagnose bone tumors or cancer that has spread to the bone. It may also be used to help diagnose fractures, bone infections, or other bone problems. Also called bone scintigraphy.",,,,,,
Boost,,,,,,,,
border irregularity,,,,,,,,
BRAF mutations,BRAF gene,A gene that makes a protein that is involved in sending signals in cells and in cell growth. Mutated (changed) forms of the BRAF gene and protein have been found in many types of cancer. These changes can increase the growth and spread of cancer cells.,,,,,,
Breast Implant,breast implant,A silicone gel-filled or saline-filled sac placed under the chest muscle to restore breast shape.,,,,,,
Breast Reconstruction,breast reconstruction,Surgery to rebuild the shape of the breast after a mastectomy.,,,,,,
Breast-Conserving Surgery (BCS),breast-conserving surgery,"Surgery to remove cancer or other abnormal tissue from the breast and some normal tissue around it, but not the breast itself. Some lymph nodes under the arm may be removed for biopsy. Part of the chest wall lining may also be removed if the cancer is near it. Also called breast-sparing surgery, lumpectomy, partial mastectomy, quadrantectomy, and segmental mastectomy.",,,,,,
broad-spectrum sunscreen,sunscreen,"A substance that helps protect the skin from the sun's harmful rays. Sunscreens reflect, absorb, and scatter both ultraviolet A and B radiation to provide protection against both types of radiation. Using lotions, creams, or gels that contain sunscreens can help protect the skin from premature aging and damage that may lead to skin cancer.",,,,,,
bronchioli,bronchiole,A tiny branch of air tubes in the lungs. Enlarge,,,,,,
bronchopulmonary,,,,,,,,
cancer grade,grade,"In cancer, a description of a tumor based on how abnormal the cancer cells and tissue look under a microscope and how quickly the cancer cells are likely to grow and spread. Low-grade cancer cells look more like normal cells and tend to grow and spread more slowly than high-grade cancer cells. Grading systems are different for each type of cancer. They are used to help plan treatment and determine prognosis. Also called histologic grade and tumor grade.",,,,,,
cancer screening,screening,"Checking for disease when there are no symptoms. Since screening may find diseases at an early stage, there may be a better chance of curing the disease. Examples of cancer screening tests are the mammogram (for breast cancer), colonoscopy (for colon cancer), and the Pap test and HPV tests (for cervical cancer). Screening can also include doing a genetic test to check for a person’s risk of developing an inherited disease.",,,,,,
cancer stage,stage,"The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body.",,,,,,
CAPEOX,CAPOX,An abbreviation for a chemotherapy combination used to treat advanced colorectal cancer. It is also being studied in the treatment of other types of cancer. It includes the drugs capecitabine and oxaliplatin. Also called CAPOX regimen.,,,,,,
Carcinoembryonic antigen (CEA),carcinoembryonic antigen,"A substance that may be found in the blood of people who have colon cancer, other types of cancer or diseases, or who smoke tobacco. Carcinoembryonic antigen levels may help keep track of how well cancer treatments are working or if cancer has come back. It is a type of tumor marker. Also called CEA.",,,,,,
Carcinoma in situ,carcinoma in situ,"A condition in which abnormal cells that look like cancer cells under a microscope are found only in the place where they first formed and haven’t spread to nearby tissue. At some point, these cells may become cancerous and spread into nearby normal tissue. There are many different types of carcinoma in situ depending on the type of tissue in which it began. These include adenocarcinoma in situ (of the cervix, lungs, and gastrointestinal tract), ductal carcinoma in situ (of the breast), and squamous cell carcinoma in situ (of the skin, mouth, and larynx). Also called stage 0 disease.",,,,,,
carcinoma in situ (CIS),carcinoma in situ,"A condition in which abnormal cells that look like cancer cells under a microscope are found only in the place where they first formed and haven’t spread to nearby tissue. At some point, these cells may become cancerous and spread into nearby normal tissue. There are many different types of carcinoma in situ depending on the type of tissue in which it began. These include adenocarcinoma in situ (of the cervix, lungs, and gastrointestinal tract), ductal carcinoma in situ (of the breast), and squamous cell carcinoma in situ (of the skin, mouth, and larynx). Also called stage 0 disease.",,,,,,
Castration,castration,"Removal or destruction of the testicles or ovaries using radiation, surgery, or drugs. Medical castration refers to the use of drugs to suppress the function of the ovaries or testicles.",,,,,,
cerebral edema,,The most basic definition of cerebral edema is swelling of the brain. It is a relatively common phenomenon with numerous etiologies. ,,,,,,
cervical intraepithelial neoplasia (CIN),cervical intraepithelial neoplasia,"A term used to describe abnormal cells that are found on the surface of the cervix when a biopsy is done. Cervical intraepithelial neoplasia is usually caused by infection with certain types of human papillomavirus (HPV). Cervical intraepithelial neoplasia is not cancer but may become cancer and spread to nearby normal tissue. It is graded on a scale of 1 to 3, based on how abnormal the cells look under a microscope and how much of the cervical tissue is affected. For example, CIN 1 has slightly abnormal cells and is less likely to become cancer than CIN 2 or CIN 3. Cervical intraepithelial neoplasia is sometimes called cervical dysplasia. Also called CIN.",,,,,,
chemistry profile,,"A test done on a sample of blood to measure the amount of certain substances in the body. These substances include electrolytes (such as sodium, potassium, and chloride), fats, proteins, glucose (sugar), and enzymes. Blood chemistry studies give important information about how well a person’s kidneys, liver, and other organs are working. An abnormal amount of a substance in the blood can be a sign of disease or side effect of treatment. Blood chemistry studies are used to help diagnose and monitor many conditions before, during, and after treatment. Also called blood chemistry test.",,,,,,
Chemotherapy,chemotherapy,"Treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Chemotherapy may be given by mouth, injection, or infusion, or on the skin, depending on the type and stage of the cancer being treated. It may be given alone or with other treatments, such as surgery, radiation therapy, or biologic therapy.",,,,,,
chimeric antigen receptor (CAR) T-cell therapy,CAR T-cell therapy,"A type of treatment in which a patient's T cells (a type of immune system cell) are changed in the laboratory so they will attack cancer cells. T cells are taken from a patient’s blood. Then the gene for a special receptor that binds to a certain protein on the patient’s cancer cells is added to the T cells in the laboratory. The special receptor is called a chimeric antigen receptor (CAR). Large numbers of the CAR T cells are grown in the laboratory and given to the patient by infusion. CAR T-cell therapy is used to treat certain blood cancers, and it is being studied in the treatment of other types of cancer. Also called chimeric antigen receptor T-cell therapy.",,,,,,
Chromosomes,chromosome,"Part of a cell that contains genetic information. Except for sperm and eggs, all human cells contain 46 chromosomes.",,,,,,
chronic obstructive pulmonary disease (COPD),chronic obstructive pulmonary disease,"A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking. Also called COPD.",,,,,,
Clinical Breast Exam (CBE),clinical breast exam,A physical exam of the breast performed by a health care provider to check for lumps or other changes. Also called CBE.,,,,,,
Clinical Stage (c),,,,,,,,
Colectomy,colectomy,"An operation to remove all or part of the colon. When only part of the colon is removed, it is called a partial colectomy. In an open colectomy, one long incision is made in the wall of the abdomen and doctors can see the colon directly. In a laparoscopic-assisted colectomy, several small incisions are made and a thin, lighted tube attached to a video camera is inserted through one opening to guide the surgery. Surgical instruments are inserted through the other openings to perform the surgery.",,,,,,
Colon,colon,"The longest part of the large intestine (a tube-like organ connected to the small intestine at one end and the anus at the other). The colon removes water and some nutrients and electrolytes from partially digested food. The remaining material, solid waste called stool, moves through the colon, is stored in the rectum, and leaves the body through the anus. The colon is part of the digestive system.",,,,,,
Colonoscopy,colonoscopy,"Examination of the inside of the colon using a colonoscope, inserted into the rectum. A colonoscope is a thin, tube-like instrument with a light and a lens for viewing. It may also have a tool to remove tissue to be checked under a microscope for signs of disease.",,,,,,
Colostomy,colostomy,An opening into the colon from the outside of the body. A colostomy provides a new path for waste material to leave the body after part of the colon has been removed.,,,,,,
combination regimen,combination therapy,Therapy that combines more than one method of treatment. Also called multimodality therapy and multimodality treatment.,,,,,,
complete blood count (CBC),complete blood count,"A measure of the number of red blood cells, white blood cells, and platelets in the blood. The amount of hemoglobin (substance in the blood that carries oxygen) and the hematocrit (the amount of whole blood that is made up of red blood cells) are also measured. A complete blood count is used to help diagnose and monitor many conditions. Also called blood cell count, CBC, and full blood count.",,,,,,
complete response (CR),complete response,The disappearance of all signs of cancer in response to treatment. This does not always mean the cancer has been cured. Also called complete remission.,,,,,,
completion lymph node dissection (CLND),lymph node dissection,"A surgical procedure in which the lymph nodes are removed and a sample of tissue is checked under a microscope for signs of cancer. For a regional lymph node dissection, some of the lymph nodes in the tumor area are removed; for a radical lymph node dissection, most or all of the lymph nodes in the tumor area are removed. Also called lymphadenectomy.",,,,,,
computed tomography (CT),computed tomography scan,"A procedure that uses a computer linked to an x-ray machine to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-dimensional (3-D) views of tissues and organs. A dye may be injected into a vein or swallowed to help the tissues and organs show up more clearly. A computed tomography scan may be used to help diagnose disease, plan treatment, or find out how well treatment is working. Also called CAT scan, computerized axial tomography scan, computerized tomography, and CT scan.",,,,,,
Computed tomography (CT),computed tomography scan,"A procedure that uses a computer linked to an x-ray machine to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-dimensional (3-D) views of tissues and organs. A dye may be injected into a vein or swallowed to help the tissues and organs show up more clearly. A computed tomography scan may be used to help diagnose disease, plan treatment, or find out how well treatment is working. Also called CAT scan, computerized axial tomography scan, computerized tomography, and CT scan.",,,,,,
computed tomography (CT) scan,computed tomography scan,"A procedure that uses a computer linked to an x-ray machine to make a series of detailed pictures of areas inside the body. The pictures are taken from different angles and are used to create 3-dimensional (3-D) views of tissues and organs. A dye may be injected into a vein or swallowed to help the tissues and organs show up more clearly. A computed tomography scan may be used to help diagnose disease, plan treatment, or find out how well treatment is working. Also called CAT scan, computerized axial tomography scan, computerized tomography, and CT scan.",,,,,,
Conn syndrome,,,"Conn syndrome, also known as primary hyperaldosteronism, is characterized by excessive secretion of aldosterone from the adrenal glands, leading to hypertension, hypokalemia, and suppressed plasma renin levels. ",,,,,
Consolidation,,,,,,,,
continent urinary reservoir,continent reservoir,A pouch formed from a piece of small intestine to hold urine after the bladder has been removed.,,,,,,
continuation maintenance,,,,,,,,
contrast,contrast material,"A dye or other substance that helps show abnormal areas inside the body. It is given by injection into a vein, by enema, or by mouth. Contrast material may be used with x-rays, CT scans, MRI, or other imaging tests.","A dye or other substance that helps show abnormal areas inside the body. It is given by injection into a vein, by enema, or by mouth. Contrast material may be used with x-rays, CT scans, MRI, or other imaging tests.",,,,,
Contrast,contrast material,,,,,,,
convulsive status epilepticus,,,,,,,,
Core Needle Biopsy (CNB),core needle biopsy,The removal of a tissue sample with a wide needle for examination under a microscope. Also called core biopsy.,,,,,,
corticosteroids,,,,,,,,
Cytogenetics,cytogenetics,"The study of chromosomes, which are long strands of DNA and protein that contain most of the genetic information in a cell. Cytogenetics involves testing samples of tissue, blood, or bone marrow in a laboratory to look for changes in chromosomes, including broken, missing, rearranged, or extra chromosomes. Changes in certain chromosomes may be a sign of a genetic disease or condition or some types of cancer. Cytogenetics may be used to help diagnose a disease or condition, plan treatment, or find out how well treatment is working.",,,,,,
cytokine release syndrome (CRS),cytokine release syndrome,"A condition that may occur after treatment with some types of immunotherapy, such as monoclonal antibodies and CAR-T cells. Cytokine release syndrome is caused by a large, rapid release of cytokines into the blood from immune cells affected by the immunotherapy. Cytokines are immune substances that have many different actions in the body. Signs and symptoms of cytokine release syndrome include fever, nausea, headache, rash, rapid heartbeat, low blood pressure, and trouble breathing. Most patients have a mild reaction, but sometimes, the reaction may be severe or life threatening.",,,,,,
deep margin status,,,,,,,,
deoxyribonucleic acid (DNA),deoxyribonucleic acid,"The molecule inside cells that contains the genetic information needed for a person and most other organisms to develop and grow and is passed from one generation to the next. Deoxyribonucleic acid is made up of two strands that twist into the shape of a spiral ladder called a double helix. Each strand has a backbone that is made up of sugar and phosphate molecules that attach to one of four bases: adenine (A), thymine (T), guanine (G), and cytosine (C). The bases pair up with one another (A with T, and G with C) to form chemical bonds, which act like rungs on a ladder. This holds the two strands of deoxyribonucleic acid together. Also called DNA.",,,,,,
Deoxyribonucleic acid (DNA),deoxyribonucleic acid,"The molecule inside cells that contains the genetic information needed for a person and most other organisms to develop and grow and is passed from one generation to the next. Deoxyribonucleic acid is made up of two strands that twist into the shape of a spiral ladder called a double helix. Each strand has a backbone that is made up of sugar and phosphate molecules that attach to one of four bases: adenine (A), thymine (T), guanine (G), and cytosine (C). The bases pair up with one another (A with T, and G with C) to form chemical bonds, which act like rungs on a ladder. This holds the two strands of deoxyribonucleic acid together. Also called DNA.",,,,,,
dermal mitotic rate,mitotic rate,"A measure of how fast cancer cells are dividing and growing. To find the mitotic rate, the number of cells dividing in a certain amount of cancer tissue is counted. Mitotic rate is used to help find the stage of melanoma (a type of skin cancer) and other types of cancer. Higher mitotic rates are linked with lower survival rates. Also called MR.",,,,,,
Diagnostic mammogram,diagnostic mammogram,An x-ray picture of the breast used to check for breast cancer after a lump or other sign or symptom of the disease has been found. It is also used to follow up on a suspicious change found during a screening mammogram. A diagnostic mammogram usually involves taking more detailed x-ray pictures of the breast from different angles to check the suspicious area more closely.,,,,,,
Digital rectal exam,digital rectal examination,"An examination in which a doctor inserts a lubricated, gloved finger into the rectum to feel for abnormalities. Also called DRE.",,,,,,
DNA (deoxyribonucleic acid),deoxyribonucleic acid,"The molecule inside cells that contains the genetic information needed for a person and most other organisms to develop and grow and is passed from one generation to the next. Deoxyribonucleic acid is made up of two strands that twist into the shape of a spiral ladder called a double helix. Each strand has a backbone that is made up of sugar and phosphate molecules that attach to one of four bases: adenine (A), thymine (T), guanine (G), and cytosine (C). The bases pair up with one another (A with T, and G with C) to form chemical bonds, which act like rungs on a ladder. This holds the two strands of deoxyribonucleic acid together. Also called DNA.",,,,,,
Donor,donor,"In medicine, a person who gives blood, cells, tissue, or an organ for use in another person, such as in a blood transfusion or an organ transplant.",,,,,,
Ductal Carcinoma,ductal carcinoma,"The most common type of breast cancer. It begins in the lining of the milk ducts (thin tubes that carry milk from the lobules of the breast to the nipple). Ductal carcinoma may be either ductal carcinoma in situ (DCIS) or invasive ductal carcinoma. DCIS is a noninvasive condition in which abnormal cells are found in the lining of a breast duct and have not spread outside the duct to other tissues in the breast. In some cases, DCIS may become invasive cancer. In invasive ductal carcinoma, cancer has spread outside the breast duct to surrounding normal tissue. It can also spread through the blood and lymph systems to other parts of the body.",,,,,,
Early-stage prostate cancer,,,,,,,,
ECOG,NCI clinical trials cooperative group,"A group of researchers, cancer centers, and community doctors who are involved in studies that test new ways to screen, prevent, diagnose, and treat cancer. Clinical trials run by cooperative groups are funded and supported by the National Cancer Institute (NCI), and large numbers of patients take part in many locations. The current U.S. cooperative groups are the Alliance for Clinical Trials in Oncology, ECOG-ACRIN Cancer Research Group, NRG Oncology, SWOG, and Children’s Oncology Group (COG). The NCI clinical trials cooperative groups are part of the National Clinical Trials Network (NCTN).",,,,,,
ejaculate,ejaculation,The release of semen through the penis during orgasm.,,,,,,
Embolization,embolization,"A procedure that uses particles, such as tiny gelatin sponges or beads, to block a blood vessel. Embolization may be used to stop bleeding or to block the flow of blood to a tumor or abnormal area of tissue. It may be used to treat some types of liver cancer, kidney cancer, and neuroendocrine tumors. It may also be used to treat uterine fibroids, aneurysms, and other conditions. Types of embolization are arterial embolization, chemoembolization, and radioembolization.",,,,,,
endobronchial ultrasound (EBUS),,,,,,,,
Endocrine therapy,endocrine therapy,"Treatment that adds, blocks, or removes hormones. For certain conditions (such as diabetes or menopause), hormones are given to adjust low hormone levels. Hormones can also cause certain cancers (such as prostate and breast cancer) to grow. To slow or stop the growth of cancer, synthetic hormones or other drugs may be given to block the body’s natural hormones, or surgery is used to remove the gland that makes a certain hormone. Also called hormonal therapy, hormone therapy, and hormone treatment.",,,,,,
endoscopic ultrasound (EUS),endoscopic ultrasound,"A procedure in which an endoscope is inserted into the body. An endoscope is a thin, tube-like instrument that has a light and a lens for viewing. A probe at the end of the endoscope is used to bounce high-energy sound waves (ultrasound) off internal organs to make a picture (sonogram). Also called endosonography and EUS.",,,,,,
Enlarged prostate,enlarged prostate,"A benign (not cancer) condition in which the prostate gland is larger than normal. As the prostate gets bigger, it may press against the bladder and urethra, which can slow or block the flow of urine from the bladder. This can cause urinary symptoms, such as feeling a need to urinate often or right away, waking up many times during the night to urinate, trouble urinating, leaking urine, pain during urination or after ejaculation (the release of semen through the penis during orgasm), and blood in the urine. An enlarged prostate does not increase a person’s risk of developing prostate cancer. However, if not treated, it can lead to a weak bladder, urinary retention, urinary tract infections, bladder stones, or bladder or kidney damage. An enlarged prostate is most common in older men. Also called benign prostatic hyperplasia, benign prostatic hypertrophy, and BPH.",,,,,,
Erectile dysfunction,erectile dysfunction,An inability to have an erection of the penis adequate for sexual intercourse. Also called impotence.,,,,,,
Estrogen,estrogen,"A type of hormone made by the body that helps develop and maintain female sex characteristics and the growth of long bones. Estrogens can also be made in the laboratory. They may be used as a type of birth control and to treat symptoms of menopause, menstrual disorders, osteoporosis, and other conditions.",,,,,,
excision,surgical excision,"The removal of tissue from the body using a scalpel (a sharp knife), laser, or other cutting tool. A surgical excision is usually done to remove a lump or other suspicious growth. Some normal tissue around the lump is usually removed at the same time.",,,,,,
