term,formal_definition,simplified_explanation,formal_fk_grade,formal_flesch_ease,formal_smog,formal_gunning_fog,formal_dale_chall,formal_text_standard,formal_word_count,formal_avg_word_length,formal_avg_syllables_per_word,formal_type_token_ratio,formal_long_word_percentage,simplified_fk_grade,simplified_flesch_ease,simplified_smog,simplified_gunning_fog,simplified_dale_chall,simplified_text_standard,simplified_word_count,simplified_avg_word_length,simplified_avg_syllables_per_word,simplified_type_token_ratio,simplified_long_word_percentage,improvement_fk_grade,improvement_flesch_ease,improvement_smog,improvement_gunning_fog,improvement_dale_chall,improvement_word_length,improvement_syllables,improvement_long_word_percentage,easy_definition
menopause,"menopause is The time of life when a woman’s ovaries stop producing hormones and menstrual periods stop. Natural menopause usually occurs around age 50. A woman is said to be in menopause when she hasn’t had a period for 12 months in a row. Symptoms of menopause include hot flashes, mood swings, night sweats, vaginal dryness, trouble concentrating, and infertility.","Menopause is like a natural shutdown of a woman's reproductive system. It happens when her ovaries stop making eggs and hormones that help regulate her monthly period. This usually happens around age 50, but can happen earlier or later depending on each woman. During menopause, women may experience hot flashes, mood changes, and other symptoms. These can be uncomfortable, but they're a sign that the body is making the transition to this new stage of life. Women who have gone through menopause can no longer get pregnant, but many other aspects of their health can improve, like lowered risk of certain diseases.</s>",8.8,57.27,12.2,12.74,11.1,8th and 9th grade,68,4.0,1.338235294117647,0.75,14.705882352941178,9.7,54.73,10.9,11.45,9.4,9th and 10th grade,116,4.241379310344827,1.3448275862068966,0.7241379310344828,10.344827586206897,-0.8999999999999986,-2.5400000000000063,1.299999999999999,1.290000000000001,1.6999999999999993,-0.2413793103448274,-0.006592292089249607,4.361054766734281,The end of menstrual periods.
mutation,"mutation is Any change in the DNA sequence of a cell. Mutations may be caused by mistakes during cell division, or they may be caused by exposure to DNA-damaging agents in the environment. Mutations can be harmful, beneficial, or have no effect. If they occur in cells that make eggs or sperm, they can be inherited; if mutations occur in other types of cells, they are not inherited. Certain mutations may lead to cancer or other diseases. A mutation is sometimes called a variant.","Okay! Here's my attempt to explain the term ""mutation"" in a way that's easy to understand for a non-medical person:

A mutation is like a mistake in the instructions for making a Lego castle. Imagine you have a blueprint for building a castle, and you're following the steps to build it. But, instead of using the correct pieces, you accidentally grab the wrong ones and try to put them together. The result might look something like a pile of random Legos on the floor. That's kind of like what happens when a cell makes a mutation - it's like a mistake in the instructions for building the cell's own blueprint. And just like with Legos, some mutations can be harmless, while others can cause problems or even lead to disease.</s>",8.6,57.57,11.9,10.36,8.74,8th and 9th grade,94,4.074468085106383,1.3617021276595744,0.5638297872340425,14.893617021276595,9.1,67.08,10.5,9.99,7.81,10th and 11th grade,150,3.8666666666666667,1.1866666666666668,0.6066666666666667,6.0,-0.5,9.509999999999998,1.4000000000000004,0.3699999999999992,0.9300000000000006,0.2078014184397161,0.17503546099290768,8.893617021276595,"Any change in the DNA sequence of a cell. Mutations may be caused by mistakes during cell division, or they may be caused by exposure to DNA-damaging agents in the environment. Mutations can be harmful, beneficial, or have no effect. If they occur in cells that make eggs or sperm, they can be inherited; if mutations occur in other types of cells, they are not inherited. Certain mutations may lead to cancer or other diseases. A mutation is sometimes called a variant."
oncologist,"oncologist is A doctor who has special training in diagnosing and treating cancer. Some oncologists specialize in a particular type of cancer treatment. For example, a radiation oncologist specializes in treating cancer with radiation.","Oncologists are doctors who specialize in treating cancer. They have extra training and knowledge to help them figure out how to stop cancer from growing or spreading. Just like how you might have a favorite teacher for math or English, an oncologist is like a superhero for your body's cancer problems. They use different tools and techniques to fight the cancer cells, such as surgery, medicine, or radiation. Just like how you need to go to a car mechanic to fix your car, you go to an oncologist to fix your body!</s>",12.2,26.77,12.5,13.03,10.58,12th and 13th grade,36,5.055555555555555,1.75,0.7222222222222222,22.22222222222222,8.0,70.13,10.8,9.87,8.04,7th and 8th grade,104,3.9423076923076925,1.2211538461538463,0.625,8.653846153846153,4.199999999999999,43.36,1.6999999999999993,3.16,2.540000000000001,1.1132478632478628,0.5288461538461537,13.568376068376068,"A doctor who has special training in diagnosing and treating cancer. Some oncologists specialize in a particular type of cancer treatment. For example, a radiation oncologist specializes in treating cancer with radiation."
ovarian suppression,"ovarian suppression is Treatment that stops or lowers the amount of estrogen made by the ovaries. Types of ovarian suppression include surgery to remove both ovaries, radiation therapy, and the use of certain drugs. Ovarian suppression may be used to prevent and treat breast cancer. Also called ovarian ablation.","Ovarian suppression is like putting a pause button on your body's ability to produce eggs. It's a treatment used to stop or reduce the amount of estrogen made by the ovaries. Imagine you have a box of chocolates, and inside each one is an egg. Ovarian suppression is like taking away the box so the eggs can't grow or hatch. This can help prevent or treat certain types of cancer, like breast cancer. There are different ways to do ovarian suppression, like removing both ovaries, using radiation therapy, or taking special medicines. Just like how you might need to take medicine to feel better when you're sick, ovarian suppression can help keep your body healthy from cancer.</s>",7.5,60.51,11.2,10.83,10.05,7th and 8th grade,49,4.3061224489795915,1.4285714285714286,0.7755102040816326,16.3265306122449,7.0,72.56,10.3,9.18,7.6,7th and 8th grade,128,3.859375,1.203125,0.671875,8.59375,0.5,12.050000000000004,0.8999999999999986,1.6500000000000004,2.450000000000001,0.4467474489795915,0.2254464285714286,7.732780612244898,Methods used to lower hormone levels made by the ovaries.
ovary,"ovary is One of a pair of female glands in which the eggs form and the female hormones estrogen and progesterone are made. These hormones play an important role in female traits, such as breast development, body shape, and body hair. They are also involved in the menstrual cycle, fertility, and pregnancy. There is one ovary on each side of the uterus.","Sure, I'd be happy to help! Here's my attempt at explaining the term ""ovary"" in a way that's easy to understand for a non-medical person:

Hey there! So, did you know that inside your tummy, there are two special gadgets called ovaries? They're like tiny factories where magic happens! Inside these gadgets, little eggs grow and get ready to travel through your body to meet their forever home - your uterus. These eggs are super important because they help create the hormones estrogen and progesterone, which do lots of cool things like help your boobs grow, shape your body, and make your periods happen. Plus, they play a big role in getting you pregnant! So, your ovaries are kind of like tiny wizards inside your tummy, making all sorts of magic happen!</s>",8.0,64.71,11.2,10.67,8.33,8th and 9th grade,69,4.086956521739131,1.289855072463768,0.6521739130434783,11.594202898550725,7.3,71.85,10.1,9.29,8.09,8th and 9th grade,159,3.949685534591195,1.1823899371069182,0.6415094339622641,7.547169811320755,0.7000000000000002,7.140000000000001,1.0999999999999996,1.3800000000000008,0.2400000000000002,0.13727098714793584,0.10746513535684987,4.04703308722997,One of a pair of glands that produce eggs and hormones. There is one ovary on each side of the uterus.
pathologist,pathologist is A doctor who has special training in identifying diseases by studying cells and tissues under a microscope.,"Okay, here's my attempt at explaining the term ""pathologist"" to a non-medical person in simple language:

A pathologist is like a detective for doctors. They look at tiny details of cells and tissues under a microscope to figure out what's making someone sick. Imagine you have a mystery box full of tiny pieces of evidence, like fibers or blood cells. A pathologist would examine each piece closely to figure out what it is and how it could help solve the mystery of why someone is feeling unwell. Just like a detective needs to use all their clues to solve a crime, a pathologist uses their knowledge and skills to diagnose diseases based on these tiny details. It's a really important job because it helps doctors know how to treat people properly and make them feel better!</s>",12.7,36.28,0.0,16.09,11.55,11th and 12th grade,19,4.894736842105263,1.736842105263158,0.9473684210526315,21.052631578947366,9.5,66.07,11.9,12.13,8.68,11th and 12th grade,150,4.02,1.2733333333333334,0.6533333333333333,9.333333333333334,3.1999999999999993,29.789999999999992,-11.9,3.959999999999999,2.870000000000001,0.8747368421052633,0.46350877192982454,11.719298245614032,A doctor who has special training in identifying diseases by studying cells and tissues under a microscope.
prognosis,prognosis is The likely outcome or course of a disease; the chance of recovery or recurrence.,"Sure! Here's my attempt at explaining the term ""prognosis"" in a way that's easy to understand for a non-medical person:

Prognosis is like a movie plot twist - it's the prediction of how a disease will turn out. Imagine you're watching a thriller and you know the bad guy is going to get caught in the end, but you're not sure how it will happen. That's like a good prognosis. It means the doctor has a pretty good idea of what will happen next, like whether the patient will get better or worse. But sometimes, just like in movies, things don't always go as planned, so the prognosis can change. Just like how the bad guy might escape or the good guys might lose, a patient's condition can take an unexpected turn. So while the doctor might have a good idea of what will happen, there's always some uncertainty.</s>",8.0,64.71,0.0,11.33,8.59,7th and 8th grade,17,4.0588235294117645,1.2941176470588236,0.8235294117647058,11.76470588235294,7.8,75.95,10.0,10.18,7.07,9th and 10th grade,174,3.6379310344827585,1.0919540229885059,0.5574712643678161,5.747126436781609,0.20000000000000018,11.240000000000009,-10.0,1.1500000000000004,1.5199999999999996,0.42089249492900604,0.20216362407031774,6.017579445571331,The pattern and outcome of a disease.
psychosocial,"psychosocial is In medicine, having to do with the mental, emotional, social, and spiritual effects of a disease, such as cancer. Some of the psychosocial effects of cancer are changes in how a patient thinks, their feelings, moods, beliefs, ways of coping, and relationships with family, friends, and co-workers. There are different kinds of psychosocial support that can help cancer patients, including counseling, education, group support, and spiritual support.","Sure! Here's my attempt to explain the term ""psychosocial"" in a way that's easy to understand for a non-medical person:

When someone has cancer, it affects not just their body, but also their mind and spirit. The psychosocial effects of cancer mean the mental, emotional, and social changes they go through because of their illness. It can be like when you have a big test coming up at school and it makes you feel stressed and anxious. Or when you break your arm playing sports and it's hard to do things you normally do. Cancer can change how someone feels, thinks, and acts, and it can also affect their relationships with people around them. To help cancer patients deal with these changes, there are special kinds of support called counseling, education, group support, and spiritual support. These can give them tools to cope with their cancer and feel better overall.</s>",13.1,40.69,14.1,12.44,10.71,12th and 13th grade,85,4.247058823529412,1.3058823529411765,0.5882352941176471,12.941176470588237,9.2,66.98,9.6,10.6,8.31,8th and 9th grade,175,4.04,1.177142857142857,0.6228571428571429,5.142857142857142,3.9000000000000004,26.290000000000006,4.5,1.8399999999999999,2.4000000000000004,0.20705882352941174,0.12873949579831945,7.798319327731095,"Having to do with the mental, emotional, social, and spiritual aspects."
psychosocial support,"psychosocial support is In medicine, support given to help meet the mental, emotional, social, and spiritual needs of patients and their families. Diseases, such as cancer, can affect a patient’s thoughts, feelings, moods, beliefs, ways of coping, and relationships with family, friends, and co-workers. There are different kinds of psychosocial support that can help cancer patients. These include counseling, education, group support, and spiritual support.","Sure! Here's my attempt to explain ""psychosocial support"" in simple language for a non-medical person:

Psychosocial support is like having a team of people who care about you and want to help you feel better. When you're sick or going through a tough time, it can be hard to deal with all the emotions and changes happening inside and outside of you. Psychosocial support helps by giving you someone to talk to, teaching you new ways to cope with your feelings, and connecting you with others who understand what you're going through. It's like having a safety net of support to catch you when you need it.

For example, imagine you're playing a game of basketball and you get injured. Your coach and teammates will give you support and encouragement to help you feel better and get back in the game. That's kind of like what psychosocial support does for people dealing with illnesses or difficult situations. It provides emotional and social support to help them heal and move forward.</s>",10.4,47.49,13.0,10.71,11.13,10th and 11th grade,83,4.301204819277109,1.2771084337349397,0.6265060240963856,14.457831325301203,8.8,67.79,10.4,11.08,7.57,8th and 9th grade,186,4.016129032258065,1.2096774193548387,0.5698924731182796,6.989247311827956,1.5999999999999996,20.300000000000004,2.5999999999999996,-0.3699999999999992,3.5600000000000005,0.2850757870190437,0.0674310143801009,7.468584013473247,"Support given to help meet the mental, emotional, social, and spiritual needs. Types of psychosocial support include counseling, education, group support, and spiritual support."
radiation oncologist,radiation oncologist is A doctor who has special training in using radiation to treat cancer.,"Sure, I'd be happy to help! Here's an explanation of what a radiation oncologist does in simple language that a non-medical person can understand:

A radiation oncologist is a doctor who specializes in using radiation to treat cancer. Imagine your body is like a garden, and cancer is like a weed that needs to be removed. A radiation oncologist uses a very precise kind of ""weeding tool"" called radiation therapy to kill the cancer cells while leaving the healthy parts of the garden (your body) unharmed. They use special machines that aim tiny doses of radiation directly at the cancer, much like how a gardener might use a small watering can to target a specific weed. This helps to shrink the cancer and stop it from growing, giving you more time to live a normal life.</s>",8.4,58.28,0.0,8.28,10.35,6th and 7th grade,14,4.285714285714286,1.5,1.0,7.142857142857142,10.6,57.91,11.5,11.76,8.48,11th and 12th grade,149,3.9395973154362416,1.2953020134228188,0.6577181208053692,8.724832214765101,-2.1999999999999993,-0.37000000000000455,-11.5,-3.4800000000000004,1.8699999999999992,0.346116970278044,0.2046979865771812,-1.5819750719079586,A doctor who’s an expert in treating cancer with radiation.
radiation therapy,"radiation therapy is The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy.","Radiation therapy is like a superhero for cancer cells! It's a way to kill them off using special kinds of energy beams. Imagine your body has bad guys like cancer cells growing inside you, and these beams are like powerful weapons that can find and destroy those bad guys. There are different ways to get these beams into your body, like using machines outside of you or putting something special inside you. Either way, they work by sending the energy beams directly to the cancer cells to zapping them until they're gone! Just like how Superman would save the day by using his X-ray vision to defeat the bad guys, radiation therapy helps save lives by defeating cancer cells.</s>",14.2,27.01,14.2,14.45,10.88,13th and 14th grade,90,4.677777777777778,1.5666666666666667,0.6444444444444445,16.666666666666664,8.4,68.91,10.1,9.77,7.75,8th and 9th grade,129,4.124031007751938,1.248062015503876,0.6201550387596899,6.976744186046512,5.799999999999999,41.89999999999999,4.1,4.68,3.130000000000001,0.5537467700258398,0.3186046511627907,9.689922480620153,"The use of high-energy radiation from x-rays, gamma rays, neutrons, protons, and other sources to kill cancer cells and shrink tumors. Radiation may come from a machine outside the body (external-beam radiation therapy), or it may come from radioactive material placed in the body near cancer cells (internal radiation therapy or brachytherapy). Systemic radiation therapy uses a radioactive substance, such as a radiolabeled monoclonal antibody, that travels in the blood to tissues throughout the body. Also called irradiation and radiotherapy."
recurrence,"recurrence is Cancer that has recurred (come back), usually after a period of time during which the cancer could not be detected. The cancer may come back to the same place as the original (primary) tumor or to another place in the body. Also called recurrent cancer.","Sure, I'd be happy to help! Here's an explanation of the term ""recurrence"" in simple language:

Recurrence means when cancer comes back after a while. Imagine you have a toy box full of blocks. If you take out one block and put it back in the box, it's still part of the same box. But if you take out a block and then later find it in a different toy box, that's like recurrence. It's like the cancer cells are moving around and showing up in new places. It can happen after a long time, like years, after the first cancer was treated. It can also come back in the same place where the first cancer was. So, recurrence is like the cancer cells coming back to haunt us again.</s>",9.3,55.95,11.9,11.34,7.83,7th and 8th grade,54,3.9074074074074074,1.3333333333333333,0.7222222222222222,12.962962962962962,4.0,91.11,6.4,6.23,5.96,4th and 5th grade,151,3.377483443708609,1.0132450331125828,0.5629139072847682,1.9867549668874174,5.300000000000001,35.16,5.5,5.109999999999999,1.87,0.5299239636987982,0.3200883002207504,10.976207996075544,"Cancer that has recurred (come back), usually after a period of time during which the cancer could not be detected. The cancer may come back to the same place as the original (primary) tumor or to another place in the body. Also called recurrent cancer."
refractory cancer,refractory cancer is Cancer that does not respond to treatment. The cancer may be resistant at the beginning of treatment or it may become resistant during treatment. Also called resistant cancer.,"Refractory cancer means that the cancer cells don't respond well to treatment. Imagine your body is like a garden, and the cancer cells are weeds that keep growing back no matter how much water and sunlight you give them. They just won't die, even with all the medicine and therapy you try. It's like trying to kill weeds in your garden that keep coming back year after year. Same thing with cancer cells. They can be resistant to treatment from the start or become resistant over time. So, doctors might have to try different approaches to treat the cancer.</s>",7.1,61.63,9.7,5.26,6.84,7th and 8th grade,32,4.6875,1.46875,0.6875,12.5,6.4,74.29,8.8,7.21,6.44,6th and 7th grade,112,4.0,1.1785714285714286,0.6696428571428571,6.25,0.6999999999999993,12.660000000000004,0.8999999999999986,-1.9500000000000002,0.39999999999999947,0.6875,0.2901785714285714,6.25,A cancer that does not improve with treatment.
